title,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,original_language,original_title,overview,tagline,genres,production_companies,production_countries,spoken_languages,keywords,id
Rush Hour,7.013,4374,Released,1998-09-18,244721064,98,False,33000000,en,Rush Hour,"When Hong Kong Inspector Lee is summoned to Los Angeles to investigate a kidnapping, the FBI doesn't want any outside help and assigns cocky LAPD Detective James Carter to distract Lee from the case. Not content to watch the action from the sidelines, Lee and Carter form an unlikely partnership and investigate the case themselves.",The fastest hands in the East meet the biggest mouth in the West.,"Action, Comedy, Crime","Roger Birnbaum Productions, New Line Cinema, Caravan Pictures",United States of America,"Cantonese, Mandarin, English","martial arts, fbi, two man army, chinese mafia, los angeles, california, east asian lead, buddy cop, consul, crime lord, art treasures, child kidnapping, duringcreditsstinger, action hero",620
Salt,6.398,5109,Released,2010-07-21,293329073,100,False,110000000,en,Salt,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""",Who is Salt?,"Action, Mystery, Thriller","Wintergreen Productions, Columbia Pictures, Relativity Media, di Bonaventura Pictures",,"English, Russian, Korean","race against time, cia, assassination, espionage, kidnapping, spy, cold war, soviet union, double agent, revenge, on the run, shootout, female protagonist, hitwoman, terrorism, russian spy, intelligence officer",621
San Andreas,6.229,8036,Released,2015-05-27,473990832,114,False,110000000,en,San Andreas,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.","A rescue pilot survived an earthquake, this is what happens next","Action, Drama, Thriller","New Line Cinema, Village Roadshow Pictures, Flynn Picture Company, Warner Bros. Pictures","Canada, United States of America, Australia",English,"california, earthquake, disaster, tidal wave, catastrophe, disaster movie, san andreas, california, helicopter crash, rescue operation, 末日",622
Sausage Party,5.734,6789,Released,2016-07-11,140705322,89,False,19000000,en,Sausage Party,Frank leads a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.,Always use condiments,"Adventure, Animation, Comedy, Fantasy","Columbia Pictures, Annapurna Pictures, Point Grey Pictures, Nitrogen Studios Canada","Canada, United States of America",English,"supermarket, parody, anthropomorphism, sausage, food, adult animation, grocery store, sex party, gum",623
Saving Private Ryan,8.209,14658,Released,1998-07-24,481840909,169,False,70000000,en,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",The mission is a man.,"Drama, History, War","Paramount, Amblin Entertainment, Mutual Film Company, DreamWorks Pictures, The Mark Gordon Company",United States of America,"Czech, German, English, French","epic, army, airplane, self sacrifice, war veteran, war crimes, war ship, bravery, world war ii, normandy, france, parachute, troops, waffen ss, omaha beach, rescue mission, war memorial, cowardice, deserted town, based on true story, d-day, soldier, death, military, military operation, 1940s",624
Saw,7.4,8327,Released,2004-10-01,103911669,103,False,1200000,en,Saw,"Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying...",Live or die. Make your choice.,"Horror, Mystery, Crime","Twisted Pictures, Evolution Entertainment, Saw Productions Inc., Lionsgate",United States of America,English,"sadism, shotgun, detective, flashback, hospital, doctor, torture, sadist, survival horror, chained, bludgeoning, death match, booby trap, mind game, extreme violence, death game",625
Saw II,6.564,4790,Released,2005-10-28,147748505,93,False,4000000,en,Saw II,"When a new murder victim is discovered with all the signs of Jigsaw's hand, Detective Eric Matthews begins a full investigation and apprehends Jigsaw with little effort. But for Jigsaw, getting caught is just another part of his plan. Eight more of his victims are already fighting for their lives and now it's time for Matthews to join the game.",Get Me A Glass Of Water...,Horror,"Got Films, Twisted Pictures, Evolution Entertainment, Saw 2 Productions, Lionsgate",United States of America,English,"sadism, riddle, serial killer, torture, survival horror, death match, macabre, mind game, death game",626
Scarface,8.168,10749,Released,1983-12-09,66023329,169,False,25000000,en,Scarface,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",The world is yours...,"Action, Crime, Drama",Universal Pictures,United States of America,"English, Spanish","corruption, sibling relationship, miami, florida, cuba, loss of loved one, gangster, cocaine, rise and fall, remake, drug cartel, mafia, drug lord, bitterness, rise to power, miami beach, cuban refugees, drug war, inflammatory",627
Scary Movie,6.336,6346,Released,2000-07-07,278019771,88,False,19000000,en,Scary Movie,"A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!",No mercy. No shame. No sequel.,Comedy,"Brad Grey Pictures, Gold/Miller Productions, Wayans Bros. Entertainment, Dimension Films",United States of America,English,"high school, psychopath, garage, satire, parody, crude humor, spoof, horror spoof, drugs, aftercreditsstinger, horror parody",628
Scary Movie 2,5.783,4249,Released,2001-07-04,141220678,83,False,45000000,en,Scary Movie 2,"While the original parodied slasher flicks like Scream, Keenen Ivory Wayans's sequel to Scary Movie takes comedic aim at haunted house movies. A group of students visit a mansion called ""Hell House,"" and murderous high jinks ensue.",More merciless. More shameless.,Comedy,"Brad Grey Pictures, Gold/Miller Productions, Wayans Bros. Entertainment, Dimension Films","Canada, United States of America",English,"exorcism, haunted house, parody, spoof, horror spoof, secret door, college student, school project, haunted mansion, horror parody",629
Schindler's List,8.573,14594,Released,1993-12-15,321365567,195,False,22000000,en,Schindler's List,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,"Whoever saves one life, saves the world entire.","Drama, History, War",Amblin Entertainment,United States of America,"German, Polish, Hebrew, English","factory, hero, based on novel or book, nazi, concentration camp, ss (nazi schutzstaffel), holocaust (shoah), world war ii, ghetto, jew persecution, kraków, poland, defense industry, auschwitz-birkenau concentration camp, biography, based on true story, industrialist, historical fiction, black and white, train, poland, weapons manufacturer, absurd",630
